number,value,datetime_start,datetime_complete,duration,params_dropout_p,params_hidden_weights0,params_hidden_weights1,params_initializers,params_kernel1,params_kernel2,params_learning_rate,params_momentum,params_n_fc_layers,params_optimizer,params_weight_decays,state
0,1.1351591348648071,2024-04-22 09:27:09.548986,2024-04-22 09:27:25.083555,0 days 00:00:15.534569,0.18487344103051662,991.0,965.0,False,4,5,0.00013903839633706857,,3,Adam,0.00021516558869170266,COMPLETE
1,1.6387042999267578,2024-04-22 09:27:25.083867,2024-04-22 09:27:39.759002,0 days 00:00:14.675135,0.2944512594644304,,,True,3,4,8.472130512080181e-05,0.8162287770788509,1,SGD,0.0018767421250418604,COMPLETE
2,0.8895121514797211,2024-04-22 09:27:39.759305,2024-04-22 09:27:54.570012,0 days 00:00:14.810707,0.28618579811326994,,,True,4,3,0.001307155867195669,0.9802893798407065,1,SGD,0.00025777742808440093,COMPLETE
3,2.1197471618652344,2024-04-22 09:27:54.570280,2024-04-22 09:28:09.805411,0 days 00:00:15.235131,0.22501345437274067,866.0,,False,4,5,0.0005225359689877879,0.9987022551014471,2,SGD,1.7511353334368974e-05,COMPLETE
4,2.302102208137512,2024-04-22 09:28:09.805674,2024-04-22 09:28:25.218708,0 days 00:00:15.413034,0.15372758090861827,645.0,392.0,True,5,4,0.003028611925069706,,3,Adam,0.00011758725496170086,COMPLETE
5,2.1305530071258545,2024-04-22 09:28:25.218966,2024-04-22 09:28:40.223423,0 days 00:00:15.004457,0.37650653635050885,,,True,4,4,1.2057919466159218e-05,0.8709871672920861,1,SGD,5.082034362085087e-05,COMPLETE
6,2.2998610734939575,2024-04-22 09:28:40.223684,2024-04-22 09:28:55.321911,0 days 00:00:15.098227,0.17353171776829474,930.0,428.0,False,3,4,0.00022277010053236312,0.8164872135493558,3,SGD,0.000666755121656217,COMPLETE
7,1.3881425261497498,2024-04-22 09:28:55.322199,2024-04-22 09:29:10.117585,0 days 00:00:14.795386,0.4493240481766822,,,False,3,4,0.0001046625505949604,,1,Adam,0.0007185001321008655,COMPLETE
8,1.955086886882782,2024-04-22 09:29:10.117849,2024-04-22 09:29:25.079230,0 days 00:00:14.961381,0.08719068545478037,413.0,314.0,False,3,4,0.0011514132866845088,,3,Adam,1.527773532420579e-05,COMPLETE
9,1.9164080619812012,2024-04-22 09:29:25.079532,2024-04-22 09:29:40.411045,0 days 00:00:15.331513,0.008812116583897855,590.0,,False,5,3,0.00034583203936917255,0.9947683338181771,2,SGD,0.005209348373056352,COMPLETE
